;random sample of disease genes;LCC of random disease genes;LCC size of random disease genes
279;[10128, 55112, 5692, 28514, 10413, 246176, 2895, 3848, 51362, 590, 5245, 57670, 336, 1911, 10046, 10621, 6390, 1738, 84905, 22861, 4281, 5740, 4072, 11190, 1906, 2308, 79005, 3953, 10555, 5345, 83480, 4626, 1436, 65062, 7388, 6472, 54880, 221421, 64423, 84665, 55036, 5062, 4625, 538, 51399, 8216, 4693, 9083, 6748, 5176, 339829, 56521, 5825, 9508, 7846, 4043, 54499, 254394, 283, 165, 7369, 92609, 29968, 3587, 55278, 164656, 136371, 583, 54209, 523, 23261, 4938, 1642, 54704, 64902, 64840, 5833, 5313, 3630, 4907, 9381, 6720, 57863, 308, 3920, 1080, 55367, 91754, 7508];[1080, 164656, 5245, 65062];4
280;[128869, 142680, 3431, 1491, 26353, 23219, 39, 9496, 1453, 1535, 26523, 115650, 9968, 23592, 23418, 166785, 10312, 4173, 6399, 5644, 71, 3716, 345, 389549, 11155, 23363, 55800, 5321, 6569, 112744, 7066, 60528, 26873, 9895, 64359, 27429, 3458, 649, 51660, 6390, 8379, 6909, 4703, 84168, 4715, 51112, 55777, 2672, 80267, 128, 128866, 9693, 58528, 5138, 200576, 54209, 79415, 1412, 3110, 10755, 8516, 5324, 4035, 4878, 6611, 157855, 204, 5557, 286053, 2071, 4212, 2483, 1311, 23370, 84700, 1355, 34, 7043, 7415, 2261, 93233, 3798, 23097, 1410, 6095, 2131, 27249, 51085, 57731];[10755, 4035];2
281;[54, 23279, 4901, 5336, 7306, 9096, 134353, 6773, 219736, 1767, 658, 271, 6134, 7289, 55800, 2147, 64840, 9636, 1585, 51475, 10588, 6017, 25942, 3980, 54982, 3181, 29998, 8542, 4714, 55081, 124093, 3040, 7003, 3098, 5828, 3460, 284382, 9342, 8309, 26276, 4726, 8284, 125, 170302, 3954, 23065, 2674, 147007, 79827, 6337, 2625, 85007, 1776, 4221, 3832, 4595, 7846, 6659, 84317, 55131, 1471, 4634, 1314, 4625, 4174, 283, 8556, 3784, 2182, 38, 25861, 11011, 9244, 4761, 8854, 8632, 286262, 23530, 1411, 131669, 8777, 4036, 8490, 2175, 91949, 258, 1244, 54205, 23129];[4625, 7289];2
282;[78987, 25974, 112802, 2224, 124512, 23092, 6927, 5250, 8729, 162417, 10621, 1830, 94005, 9211, 5265, 5788, 3029, 51251, 9101, 9149, 57654, 6391, 4920, 3516, 54822, 28981, 353116, 6886, 345611, 9241, 8021, 2157, 9529, 2018, 2530, 23321, 26146, 93649, 144406, 8864, 54676, 3977, 8831, 7305, 10943, 7030, 658, 8022, 51142, 4982, 25942, 55593, 4835, 128240, 2057, 63915, 10395, 9863, 1824, 11141, 91801, 3594, 117144, 10413, 284086, 4174, 57010, 54585, 9786, 3155, 6928, 27089, 7040, 55275, 525, 83893, 5538, 10466, 4791, 5256, 26224, 79005, 6477, 220, 22800, 5361, 10046, 220202, 2760];[7040, 10395, 117144];3
283;[22948, 79868, 1523, 55187, 55714, 6487, 1146, 51322, 2992, 8506, 11055, 55811, 50484, 151648, 261734, 8694, 4312, 51744, 5261, 915, 727857, 3818, 51608, 81622, 547, 51259, 2622, 91647, 25915, 1436, 55770, 778, 84197, 284111, 1107, 23111, 10660, 4539, 51341, 9479, 5727, 3664, 3547, 4751, 51311, 6389, 6868, 146862, 54664, 63925, 23568, 1050, 3155, 2492, 3712, 4488, 1747, 486, 54888, 843, 51343, 84295, 23102, 80152, 6873, 3857, 10126, 29760, 57591, 51199, 4935, 59, 1495, 5264, 57082, 51013, 55112, 55746, 3643, 558, 51086, 114928, 153562, 4208, 63035, 25923, 5281, 2099, 23558];[2099, 547, 6873];3
284;[3932, 80208, 3586, 6710, 285600, 2056, 2760, 529, 79587, 5476, 799, 64902, 2627, 2660, 444, 175, 55157, 5940, 91662, 389692, 5546, 551, 641, 50619, 2651, 51218, 10021, 54936, 126695, 10806, 2672, 9152, 117144, 21, 7920, 80144, 23451, 51095, 79803, 51574, 4507, 1353, 57589, 8882, 6606, 129685, 2617, 6301, 347734, 51053, 1355, 374654, 4705, 23152, 56259, 2812, 54681, 84833, 84081, 3752, 2720, 6616, 9080, 2780, 4313, 613, 115650, 1757, 2904, 1291, 1499, 2556, 3508, 10594, 54941, 2819, 2521, 55610, 64801, 55906, 9440, 55898, 3798, 109, 6821, 1535, 7436, 1497, 255928];[84081, 55610, 56259];3
285;[6529, 132884, 9083, 6477, 10878, 4883, 56992, 54800, 80331, 3630, 23514, 549, 861, 4173, 4867, 65082, 383, 84153, 2555, 51473, 6605, 100, 353116, 9361, 63901, 26040, 8671, 51399, 388698, 387, 55967, 84340, 9255, 10558, 54941, 1757, 7072, 55624, 55164, 2972, 389434, 1718, 7132, 285, 9241, 10398, 3053, 1487, 1500, 157657, 463, 56984, 90993, 1296, 10008, 2780, 4534, 111, 4352, 3621, 57674, 4507, 5241, 2879, 738, 51244, 1763, 8288, 5889, 131669, 5824, 9487, 1967, 1795, 7852, 1917, 6908, 4478, 145645, 54463, 2055, 51506, 1185, 22800, 4312, 3937, 152137, 6607, 84634];[2972, 6908];2
286;[56171, 63908, 3694, 699, 11200, 84295, 9636, 6491, 4953, 3758, 374291, 2581, 4041, 6843, 27315, 23155, 7143, 10397, 1027, 51763, 2904, 79947, 348, 1053, 8022, 1119, 9757, 65078, 1453, 5283, 54820, 64218, 29957, 4791, 55691, 2158, 4173, 2563, 59336, 26040, 2530, 1857, 4703, 51256, 7291, 8675, 4016, 6756, 5515, 1785, 171019, 2517, 55252, 2531, 5308, 7783, 56997, 6341, 9414, 56947, 731, 6232, 1896, 6872, 5190, 88, 93426, 8991, 197131, 6307, 9354, 23461, 2077, 5054, 9247, 3426, 10908, 6334, 344, 9230, 2720, 3857, 4436, 3339, 6103, 284086, 221496, 51134, 1106];[8022, 9247];2
287;[5663, 23165, 1537, 1373, 708, 5442, 55969, 88, 55240, 79848, 79158, 55572, 55331, 353, 920, 4728, 84957, 84265, 844, 259266, 23498, 25939, 10992, 201294, 29851, 5696, 10771, 10134, 4009, 85300, 3190, 4624, 4312, 53405, 6524, 166929, 23312, 5279, 9791, 6910, 7424, 5649, 6854, 23247, 51434, 7074, 501, 27429, 6651, 85015, 55165, 5351, 695, 23065, 7809, 2110, 5071, 9785, 2255, 5199, 84660, 23241, 1828, 7994, 8621, 352909, 9971, 171019, 6102, 1460, 4068, 10382, 4750, 10892, 29940, 125170, 4763, 4884, 4914, 6850, 80311, 57679, 5654, 1302, 3991, 93587, 3814, 23417, 486];[1460, 5654];2
288;[1804, 57057, 25981, 22897, 4729, 326625, 64837, 5318, 401024, 1356, 84705, 729238, 81704, 51241, 51649, 2202, 54936, 8214, 51053, 4308, 118924, 375056, 55036, 374969, 5457, 150274, 23396, 2483, 55107, 5605, 56521, 25977, 8367, 9342, 284654, 10203, 6476, 1020, 55719, 23328, 26123, 23218, 3236, 55617, 64780, 7051, 126792, 3273, 23162, 1066, 5245, 5313, 3566, 672, 23581, 63931, 255101, 5500, 283989, 7716, 55739, 22995, 90624, 157922, 347733, 4193, 25836, 221421, 10236, 9227, 9453, 3514, 7920, 91452, 50943, 54903, 8914, 64321, 3008, 4174, 4208, 55906, 400916, 85465, 84059, 4194, 653509, 84695, 51569];[81704, 55906, 8214];3
289;[1841, 6662, 2783, 83550, 335, 2130, 9373, 23729, 11224, 5457, 219972, 24148, 9496, 6443, 55005, 54476, 79577, 4214, 4869, 55851, 53335, 8795, 2316, 64919, 50628, 55835, 1352, 3763, 139212, 6100, 65057, 343637, 8086, 1837, 84233, 975, 10935, 2255, 22926, 4163, 867, 9639, 3098, 9984, 3868, 10210, 7468, 29851, 9533, 6452, 26960, 63899, 79621, 3857, 6716, 4009, 4137, 22930, 23321, 8626, 523, 5830, 55182, 91869, 25981, 847, 54463, 6785, 2688, 5784, 121340, 22872, 287, 4340, 115948, 2812, 23299, 9842, 4535, 3795, 4758, 10524, 55610, 5663, 151648, 2657, 57679, 122402, 10274];[4163, 10524, 55005, 139212];4
290;[85446, 9496, 8772, 79770, 57680, 2780, 55655, 91869, 1406, 220136, 116085, 27445, 375748, 659, 4306, 1013, 64359, 54583, 5265, 284217, 284361, 2563, 4926, 81839, 81494, 388552, 3892, 3758, 51256, 1119, 1024, 51339, 1021, 55240, 84314, 5333, 6602, 84317, 6916, 3675, 200894, 1848, 8787, 2677, 374393, 1107, 10083, 808, 1565, 8878, 4633, 1583, 16, 5393, 10806, 7341, 4544, 6536, 51726, 10750, 81704, 4512, 1297, 1376, 8625, 9842, 54892, 28981, 54440, 1795, 7343, 6557, 5654, 726, 2103, 113189, 10616, 776, 3073, 51645, 4153, 23514, 594, 23594, 654, 1540, 8518, 54453, 92335];[4306, 1107, 7341];3
291;[51010, 84168, 3229, 6391, 63894, 6595, 55148, 3117, 1482, 8726, 23219, 22930, 50615, 808, 51520, 2122, 30061, 83706, 2132, 678, 1027, 6509, 28960, 2956, 79576, 5888, 286410, 9581, 2033, 150094, 3730, 9757, 84978, 4141, 8312, 9453, 2549, 8292, 8092, 9496, 57410, 4729, 91754, 10133, 4487, 8890, 91875, 84295, 4976, 4948, 79648, 3420, 90678, 23431, 1041, 6731, 7512, 126326, 64093, 669, 80206, 23096, 23236, 64170, 25793, 6697, 9158, 5274, 56155, 63908, 440435, 3039, 3032, 492, 7018, 7299, 55768, 51422, 9493, 6135, 676, 4363, 5000, 1474, 1286, 1173, 917, 5977, 54949];[8312, 57410, 64170];3
292;[3107, 3937, 92482, 4773, 8452, 10093, 57017, 7168, 27341, 34, 23162, 6443, 89765, 6657, 6307, 153241, 54332, 387119, 6444, 5119, 51322, 581, 8942, 60681, 9241, 1767, 55904, 3931, 4342, 54507, 200931, 2259, 9364, 23499, 23530, 5106, 84189, 7994, 4624, 6927, 88, 54658, 2495, 55617, 1302, 64094, 22796, 431705, 8294, 2760, 63910, 6616, 8864, 8295, 9688, 4041, 114928, 4536, 54832, 51604, 26128, 7042, 4125, 2013, 29072, 84100, 63899, 3459, 1889, 23322, 7080, 150094, 4607, 5836, 64065, 83483, 4780, 4519, 2512, 5959, 123016, 23503, 51241, 966, 54476, 5184, 5826, 132158, 1374];[88, 4342, 8294];3
293;[23474, 375748, 79152, 1374, 80736, 146059, 7920, 8996, 2512, 55770, 4803, 254528, 79966, 811, 7345, 200879, 92211, 55630, 3636, 55733, 79977, 55275, 1760, 55148, 4540, 6389, 5176, 7486, 3107, 4208, 861, 2706, 3047, 3551, 1267, 7512, 6472, 799, 1278, 3490, 23746, 63908, 6949, 6445, 353238, 9758, 6418, 10565, 51227, 6521, 4784, 54532, 80000, 3897, 1968, 54941, 513, 8878, 51322, 11340, 285590, 157570, 2077, 26100, 2934, 157657, 2628, 5833, 950, 9719, 7518, 1675, 6611, 9841, 83932, 24140, 2533, 85446, 80173, 1441, 3736, 26580, 4191, 8242, 4174, 6444, 3040, 1621, 399];[6472, 1374, 6389, 4174];4
294;[4627, 23385, 51126, 9631, 55777, 10908, 4620, 8882, 7480, 6611, 7201, 8842, 65266, 6873, 51218, 7053, 2811, 2186, 6789, 3593, 8542, 255928, 2549, 23149, 1140, 201973, 6584, 23007, 51134, 10616, 2266, 5257, 54790, 23152, 1736, 129285, 9723, 26227, 121340, 51021, 144245, 5308, 93, 23530, 8632, 64241, 8200, 11117, 5213, 4254, 8878, 51025, 7123, 51114, 2773, 1203, 6655, 7517, 5328, 3315, 94005, 338328, 5076, 6508, 1643, 55691, 83959, 23291, 83394, 56683, 6091, 5078, 23512, 84699, 8468, 23093, 54463, 1278, 1756, 26511, 1493, 55697, 3376, 9181, 5970, 6898, 166785, 5010, 65260];[2186, 3315, 8878];3
295;[6529, 1675, 10621, 23397, 5080, 23152, 1339, 92345, 3891, 1103, 5994, 1412, 29980, 3192, 93183, 10730, 84957, 860, 11330, 25913, 3188, 2746, 53405, 1841, 51185, 253827, 7436, 7067, 56616, 10588, 1781, 54496, 1181, 4535, 6777, 338657, 6584, 486, 4171, 55806, 23607, 64699, 79798, 3736, 7802, 2289, 11019, 8517, 2203, 1326, 240, 10383, 4893, 56606, 6135, 57054, 7068, 79574, 55280, 8364, 6927, 51364, 5880, 5611, 55521, 8481, 493856, 1028, 92335, 8600, 730, 51102, 51741, 6197, 84705, 63931, 5832, 8312, 84265, 2891, 56244, 1462, 1407, 5189, 55790, 2736, 137814, 4695, 3791];[54496, 2203, 10383, 25913, 1339];5
296;[249, 8864, 4615, 83894, 4915, 5993, 3293, 1315, 4884, 1910, 712, 3481, 79728, 6569, 56922, 2517, 8471, 57674, 8625, 84617, 6683, 9663, 9971, 5700, 10801, 10274, 212, 7841, 116150, 2018, 6448, 197322, 7480, 92749, 92002, 285025, 2591, 344, 23288, 5837, 27125, 1457, 7124, 5091, 55770, 51501, 7827, 9997, 5476, 23385, 2064, 7056, 118924, 56171, 2735, 5307, 51013, 9401, 153562, 127534, 1811, 4841, 9342, 3098, 1462, 84679, 55210, 4312, 26275, 5723, 518, 9294, 5216, 3795, 6731, 11342, 9152, 55521, 1495, 22796, 1314, 9509, 1600, 26057, 7474, 131377, 3035, 5244, 259266];[1600, 1495, 2064, 4915, 8471, 3293];6
297;[3514, 6337, 153, 3273, 931, 23780, 145226, 653361, 1380, 79693, 23443, 3667, 8328, 4784, 57526, 128674, 3689, 51284, 3630, 5626, 7703, 1678, 1503, 6652, 23064, 57128, 2271, 5333, 5339, 8504, 4638, 58508, 1261, 64321, 4853, 23495, 152816, 57216, 5455, 374879, 147138, 2175, 476, 57492, 1161, 9440, 23250, 7337, 2308, 22796, 5744, 3954, 4069, 5654, 9907, 5723, 3899, 2591, 5696, 710, 84131, 55157, 27086, 1654, 2539, 6909, 7201, 9071, 374291, 6915, 6399, 727857, 118, 3980, 9247, 1781, 9742, 4481, 80776, 857, 9653, 4001, 55250, 5122, 84868, 121391, 1315, 348938, 55163];[7201, 348938];2
298;[84300, 114548, 925, 8131, 8913, 54344, 9997, 7080, 54931, 8295, 55593, 25942, 170825, 6834, 80776, 9440, 1299, 55145, 1173, 8490, 808, 8402, 5081, 3746, 5813, 7867, 375748, 6554, 6868, 3067, 5256, 10847, 7407, 57459, 6647, 1629, 5351, 351, 338917, 6566, 2561, 4519, 5831, 6496, 7167, 729238, 1137, 6640, 1730, 6909, 7784, 1267, 5826, 5308, 5459, 131118, 8772, 51428, 10, 55773, 4891, 8288, 7253, 3777, 5091, 11011, 2313, 2936, 131377, 375, 1314, 55800, 1499, 203286, 11107, 124590, 10801, 60482, 9096, 668, 9076, 3543, 134353, 5311, 8504, 91, 23184, 1305, 9907];[5826, 1314, 7784, 8402, 6647, 7167];6
299;[63925, 5575, 6714, 7827, 6885, 2672, 55145, 1387, 1675, 6506, 3785, 4359, 5406, 2560, 8473, 4905, 8288, 55681, 8659, 10398, 10716, 55630, 4848, 7168, 345643, 9049, 1468, 57670, 283652, 2475, 7403, 3094, 6558, 2516, 3300, 388662, 4191, 3039, 222663, 91452, 7276, 939, 3033, 3920, 81562, 84888, 55367, 2571, 57054, 8675, 23495, 6418, 9702, 10056, 51645, 1911, 92482, 4507, 10059, 4747, 6605, 285600, 84342, 55505, 54567, 2978, 1577, 10847, 1890, 4285, 9524, 2138, 24137, 64834, 6578, 83893, 5538, 402, 65260, 23384, 26100, 6598, 5966, 10717, 84957, 51085, 84668, 80000, 11128];[7403, 8473, 1387, 10847];4
300;[5498, 84733, 6606, 9440, 3981, 79879, 23438, 668, 51729, 6347, 2719, 7737, 539, 8547, 79415, 84570, 5133, 7097, 2013, 1906, 23405, 157855, 3356, 23328, 6445, 55294, 3848, 55753, 83932, 8028, 87178, 3912, 196385, 7222, 8241, 1725, 9524, 4784, 7809, 51621, 84816, 8893, 3575, 2591, 26276, 63910, 1296, 3593, 646, 56159, 22872, 8050, 6103, 51728, 1654, 6418, 2263, 4615, 445, 285440, 212, 3703, 26060, 26012, 2705, 11190, 760, 55812, 8288, 4538, 55193, 57102, 136371, 50, 930, 953, 1938, 7283, 19, 23345, 7535, 55697, 158, 9179, 79669, 54567, 80185, 6885, 3978];[55812, 6103];2
301;[23259, 57102, 221421, 1289, 1412, 2202, 3178, 444, 10049, 57534, 2157, 87178, 777, 4194, 7043, 11081, 113189, 8863, 170825, 35, 240, 10369, 2673, 2705, 3785, 6897, 816, 3675, 79644, 93426, 55081, 7867, 55621, 3848, 1634, 401138, 7259, 116519, 203068, 6794, 285590, 3889, 147912, 318, 85465, 1028, 7297, 7139, 2155, 3135, 27315, 51067, 3931, 55191, 212, 163786, 695, 112476, 80347, 51142, 9075, 1589, 6508, 7046, 90624, 2747, 4125, 3674, 6201, 5782, 3460, 10084, 23005, 708, 51317, 224, 144132, 6697, 51112, 1353, 11315, 175, 4780, 7289, 5313, 1352, 9516, 254065, 284217];[6794, 7867];2
302;[137682, 254394, 23299, 79644, 284439, 317761, 4069, 84896, 5176, 6506, 9570, 255758, 121214, 55526, 81689, 7716, 8813, 26224, 4838, 23097, 9294, 340061, 11285, 930, 513, 6711, 54902, 2057, 970, 5331, 57697, 23432, 9382, 8653, 6720, 755, 7248, 3814, 3665, 5052, 22868, 4705, 4538, 55650, 10111, 26284, 4179, 55863, 1108, 7284, 51082, 8942, 383, 7703, 3040, 64699, 477, 4901, 10755, 7337, 401474, 51142, 10290, 10128, 10370, 56159, 9230, 6731, 4337, 9056, 3064, 124512, 8565, 51693, 11235, 23746, 51134, 55187, 3918, 9354, 144406, 1292, 3321, 10733, 80114, 55367, 388962, 4722, 23005];[3040, 6720, 7716, 51142, 7337, 6506, 9230, 7248, 54902, 3064];10
303;[95, 4921, 163183, 56616, 1468, 2588, 6045, 122622, 22808, 5921, 3800, 6820, 220136, 5332, 490, 84515, 57697, 8493, 5244, 23102, 7852, 3782, 9948, 57192, 114928, 83990, 1066, 57104, 10484, 6720, 55904, 57724, 582, 1841, 8106, 55526, 9662, 80254, 57102, 124590, 10660, 526, 9493, 9894, 84197, 6949, 10743, 93233, 5297, 1289, 867, 241, 26007, 10524, 203068, 53405, 10205, 345643, 54532, 64374, 5500, 1462, 8294, 207, 203228, 79574, 84947, 147183, 2771, 57545, 3290, 10456, 6657, 84984, 64902, 51259, 146059, 8462, 4808, 8546, 6770, 83894, 5611, 10216, 975, 170691, 79087, 27341, 8050];[10456, 10524, 8294, 9894];4
304;[2099, 3574, 84572, 51750, 30813, 30008, 8842, 7136, 10935, 60561, 3188, 6096, 1890, 3149, 2034, 2743, 11231, 92840, 1938, 259266, 8863, 3850, 1175, 27032, 9227, 2539, 5337, 5062, 1643, 81846, 8882, 9780, 344, 3071, 730, 1299, 10519, 10472, 23022, 10617, 721, 10524, 57104, 10117, 1639, 4308, 3321, 56922, 9918, 8452, 1075, 2697, 6857, 81839, 23746, 7920, 22948, 4091, 11160, 6820, 1760, 4645, 2121, 1738, 776, 1962, 10616, 24137, 8556, 2892, 83932, 51013, 80201, 374354, 2009, 1959, 55630, 54084, 55704, 124404, 2192, 6337, 9529, 9841, 111, 7528, 91875, 6913, 2235];[721, 2034, 2099, 10519, 10524];5
305;[8625, 4210, 10516, 6218, 81704, 11311, 133396, 4437, 64374, 56896, 182, 1356, 57102, 79912, 23236, 1285, 199221, 23230, 4535, 64581, 1634, 8289, 79966, 51025, 91851, 9227, 64072, 7026, 6768, 7750, 3293, 2492, 57526, 4513, 2735, 1984, 134353, 285590, 51726, 22978, 445, 287, 58484, 8195, 558, 51621, 3759, 23568, 22800, 5699, 57709, 2334, 9915, 54476, 283847, 8192, 1427, 9871, 8328, 10841, 857, 1815, 539, 7297, 63931, 55212, 3930, 27235, 731, 8518, 23328, 93986, 668, 4643, 4891, 80216, 271, 1757, 5352, 87178, 2956, 23030, 51633, 1513, 8220, 170691, 54345, 11235, 10456];[22978, 539];2
306;[6299, 283987, 57505, 1503, 9487, 3899, 120, 64170, 10379, 267, 1409, 6529, 1824, 10195, 2516, 1585, 3188, 23545, 2672, 9939, 344018, 79784, 112858, 7222, 2303, 987, 57128, 84162, 1909, 5972, 4621, 85452, 163183, 1428, 5265, 7317, 55148, 388389, 8314, 118429, 3991, 11311, 55033, 197135, 4763, 931, 185, 400569, 63924, 5071, 90167, 63929, 9968, 161742, 3181, 30011, 200879, 6307, 4089, 2395, 4438, 80856, 10329, 11055, 3155, 57222, 30000, 28960, 64220, 1641, 4323, 65993, 4538, 1427, 6790, 10210, 152110, 4774, 30009, 84100, 8091, 6573, 4000, 27445, 26523, 3590, 79048, 7841, 26610];[4000, 931, 161742, 5071, 283987, 10195, 4763];7
307;[286410, 8675, 2009, 63894, 50674, 130557, 5339, 51117, 1071, 2979, 4153, 3574, 7062, 6399, 9394, 26278, 23568, 132158, 57724, 3172, 3892, 4308, 2177, 197135, 196, 148738, 5081, 7305, 54941, 8883, 3762, 120892, 4901, 1893, 50801, 6658, 540, 6878, 9255, 2954, 3040, 6102, 6182, 23424, 55252, 1917, 26284, 284058, 65080, 84522, 4038, 2304, 270, 274, 1414, 267, 2495, 116228, 6934, 90522, 867, 57038, 22884, 610, 79925, 2248, 4047, 55906, 1565, 4123, 27068, 27429, 3852, 6328, 4747, 4860, 388662, 4878, 9915, 204219, 10235, 3636, 727857, 51294, 116461, 1718, 56246, 155, 4337];[84522, 116228];2
308;[55572, 8991, 79659, 55172, 9672, 83893, 1636, 4627, 8818, 8120, 7038, 200931, 9149, 22827, 7454, 3728, 3872, 6736, 10551, 64127, 80184, 80267, 57190, 122402, 27249, 6647, 23746, 3845, 2690, 10730, 9699, 9474, 153201, 3759, 6304, 5250, 283847, 56997, 10586, 84660, 10456, 3860, 178, 6234, 7291, 10641, 5194, 23314, 2720, 4040, 6045, 2483, 54084, 2073, 51075, 29927, 23001, 644096, 9479, 3694, 55074, 11093, 149461, 23233, 1536, 286, 5251, 10095, 3741, 51284, 788, 710, 80208, 4659, 1482, 5648, 7140, 4700, 269, 6557, 403, 23325, 65057, 29123, 57479, 5624, 79827, 80705, 11330];[9672, 29123, 10551, 3759];4
309;[203, 6452, 348, 246243, 974, 1339, 55753, 342035, 60495, 190, 1674, 1537, 137682, 10319, 164656, 8405, 2130, 2034, 5977, 5800, 55120, 10, 3814, 139285, 23438, 7507, 23092, 673, 345611, 5332, 50964, 6857, 728294, 55005, 1938, 23363, 83452, 10079, 22900, 25977, 83636, 2664, 23328, 7390, 6710, 1802, 23043, 8738, 2801, 26137, 51271, 5324, 4089, 4552, 288, 359948, 1298, 3875, 3593, 2138, 5156, 6898, 23001, 7253, 5162, 5054, 197, 6117, 8419, 7143, 1523, 847, 7289, 118987, 10747, 8912, 3640, 1837, 5336, 51319, 4522, 2064, 362, 8996, 5825, 633, 83550, 65082, 1376];[5156, 10, 359948, 2064, 1298, 6452, 5336];7
310;[10464, 23299, 157922, 8029, 9129, 5498, 2258, 22897, 25793, 6010, 200894, 2053, 1896, 2582, 8239, 9894, 5224, 3709, 4626, 4313, 9871, 3604, 930, 11081, 2192, 3476, 3949, 50484, 7341, 7305, 27161, 64834, 23189, 5167, 513, 5320, 57505, 79955, 229, 84957, 4846, 10367, 54880, 5290, 64221, 5192, 652, 8518, 5157, 6792, 29893, 55186, 121278, 65062, 9786, 79087, 2395, 3455, 1719, 7431, 5626, 84231, 6229, 25914, 673, 1828, 55812, 3043, 6096, 64601, 7388, 56006, 7280, 1727, 4695, 2657, 64127, 5194, 1687, 283987, 147495, 4643, 10755, 7078, 8364, 5591, 3972, 1795, 1300];[7431, 7078, 64127];3
311;[5447, 2593, 3852, 6578, 54928, 718, 130557, 5995, 6017, 5723, 3273, 2138, 4547, 23516, 51339, 7030, 55704, 51473, 5745, 3703, 6392, 54658, 9829, 118, 6910, 283989, 5500, 6710, 146227, 5962, 9319, 8241, 6757, 57158, 1460, 8665, 6872, 8905, 54982, 23031, 81857, 9129, 91647, 91662, 10262, 2972, 55596, 2053, 25788, 7957, 51300, 23204, 200879, 8204, 26277, 285, 27032, 11149, 1066, 2067, 2206, 2628, 6576, 2990, 124404, 1716, 147912, 84947, 54796, 5621, 1767, 6948, 4697, 51649, 5243, 3763, 4089, 2819, 6041, 56683, 125, 6878, 5940, 8890, 9837, 60, 3981, 6391, 55505];[2593, 26277, 51339, 91662, 1460, 283989, 118, 5500, 60, 285];10
312;[4953, 90411, 6444, 8991, 2561, 79753, 404672, 8604, 51293, 56006, 7003, 29954, 7167, 7360, 28957, 1690, 7482, 23424, 6663, 5133, 5230, 6913, 2296, 3117, 55151, 5257, 51103, 10015, 7809, 657, 4649, 374654, 486, 6392, 3423, 64207, 9130, 3052, 915, 81, 5528, 23558, 808, 958, 51181, 783, 5971, 3376, 79912, 51114, 823, 9531, 5443, 50615, 116150, 5949, 27178, 54822, 2639, 3284, 24148, 8813, 9479, 23554, 226, 2744, 8974, 1188, 54209, 26090, 115399, 5352, 6154, 6938, 8131, 144245, 1500, 79574, 22983, 7922, 50651, 55779, 25942, 9381, 23322, 83872, 5873, 283987, 26153];[9531, 23558];2
313;[8029, 199223, 55650, 35, 8694, 525, 6925, 3158, 2643, 10133, 4953, 124583, 6337, 50801, 2232, 6601, 3981, 6888, 347733, 84071, 51013, 84100, 84693, 200162, 80347, 2815, 6442, 3762, 9129, 57152, 27077, 10, 11200, 26090, 55655, 9371, 3339, 26128, 10804, 80169, 6712, 3612, 4308, 27229, 23746, 23152, 6235, 7227, 27235, 6521, 79734, 317662, 7026, 4052, 4157, 124093, 29078, 84168, 1410, 55148, 286887, 60, 23287, 64220, 844, 55704, 23299, 9885, 64919, 1186, 259236, 83737, 5949, 8242, 1312, 387119, 55651, 1748, 3590, 3075, 22880, 50617, 57591, 57104, 5251, 4784, 2162, 10621, 1411];[27229, 79734];2
314;[9524, 85007, 5770, 785, 65082, 3689, 6575, 7287, 1063, 4978, 23030, 9442, 8402, 64581, 57522, 4719, 8364, 6567, 1413, 5308, 2182, 4163, 4715, 80204, 7369, 10436, 79583, 113278, 55967, 56945, 338657, 6418, 6948, 3795, 5915, 2296, 26278, 721, 164045, 9652, 58484, 6809, 4035, 10056, 22995, 80216, 4593, 7038, 51095, 4905, 201973, 1763, 51412, 6310, 253959, 9627, 5077, 26100, 7068, 990, 51251, 773, 80776, 673, 57057, 1589, 2642, 84342, 9179, 6336, 57724, 26128, 6708, 2998, 51008, 9702, 23554, 2058, 79728, 3675, 646, 2896, 34, 5978, 5993, 284252, 4697, 51692, 9757];[10056, 4978, 9757, 6310];4
315;[5122, 5286, 79048, 57716, 3767, 1656, 581, 2542, 26191, 4363, 1462, 1021, 89869, 5663, 8021, 2760, 4160, 3574, 83636, 9922, 5782, 26047, 5825, 126695, 3845, 23250, 55187, 5567, 6651, 8660, 3753, 125988, 284058, 8558, 1967, 2036, 4998, 1859, 23268, 549, 948, 3981, 59, 2984, 10312, 84660, 8720, 60558, 1785, 80776, 84868, 7143, 79087, 57020, 8013, 404672, 6125, 23114, 2661, 199223, 5961, 55388, 6135, 91, 11055, 3110, 5000, 2961, 5264, 55737, 5332, 4534, 667, 10804, 8550, 2328, 2066, 79753, 92579, 4713, 51126, 3759, 57007, 10216, 107, 9639, 57592, 55656, 2258];[9922, 2661, 2258, 1785, 5663];5
